Date,XLF,XLK,XLI,HY,XLY,XLU,XLP,SPY,VBMFX
1/1/2019,25.940001,66.279999,71.769997,3.35,108.779999,54.759998,53.389999,269.929993,10.53
2/1/2019,26.52,70.860001,76.339996,3.39,110.209999,57.009998,54.34,278.679993,10.5
3/1/2019,25.709999,74,75.029999,3.4,113.849998,58.169998,56.110001,282.480011,10.68
4/1/2019,28.02,78.709999,78.010002,3.43,120.07,58.709999,57.709999,294.019989,10.66
5/1/2019,26.01,71.889999,72.050003,3.37,110.940002,58.25,55.610001,275.269989,10.83
6/1/2019,27.6,78.040001,77.419998,3.43,119.199997,59.630001,58.07,293,10.93
7/1/2019,28.25,80.769997,77.82,3.42,120.720001,59.549999,59.43,297.429993,10.93
8/1/2019,26.92,79.529999,75.760002,3.43,119.580002,62.580002,60.720001,292.450012,11.21
9/1/2019,28,80.529999,77.629997,3.42,120.699997,64.739998,61.419998,296.769989,11.12
10/1/2019,28.700001,83.669998,78.110001,3.43,120.849998,64.25,61.16,303.329987,11.12
11/1/2019,30.15,88.160004,82.040001,3.41,122.449997,63.049999,62,314.309998,11.09
12/1/2019,30.780001,91.669998,81.470001,3.46,125.419998,64.620003,62.98,321.859985,11.05
1/1/2020,29.96,95.33,81.11,3.45,125.32,68.98,63.18,321.73,11.26
2/1/2020,31.17,101.96,84.64,3.48,131.69,70.39,64.79,337.6,11.23
